number,title,author,state,closed_or_merged_at,url
10752,Refresh refcache,otelbot-docs[bot],merged,2026-07-10T16:31:28Z,https://github.com/open-telemetry/opentelemetry.io/pull/10752
10768,fix: Correct typo in exporter title,NicholasGWK,merged,2026-07-11T10:16:06Z,https://github.com/open-telemetry/opentelemetry.io/pull/10768
10802,Auto-update registry versions (d5041c1b46122a70641b05b5955eb5e9a1e631c5),otelbot[bot],merged,2026-07-13T05:58:23Z,https://github.com/open-telemetry/opentelemetry.io/pull/10802
10804,Refresh refcache,otelbot-docs[bot],merged,2026-07-13T16:43:33Z,https://github.com/open-telemetry/opentelemetry.io/pull/10804
10819,Auto-update registry versions (46602613eca964df68ac32823ddca3ce13e8fe4c),otelbot[bot],merged,2026-07-14T07:33:11Z,https://github.com/open-telemetry/opentelemetry.io/pull/10819
10821,Refresh refcache,otelbot-docs[bot],merged,2026-07-14T10:36:04Z,https://github.com/open-telemetry/opentelemetry.io/pull/10821
10838,Auto-update registry versions (ec775e958322675991b9172d59193ba83fa58d8c),otelbot[bot],merged,2026-07-15T11:50:50Z,https://github.com/open-telemetry/opentelemetry.io/pull/10838
10854,Auto-update registry versions (687216242d43c32ba793084b89a17f1da2d7ff0f),otelbot[bot],merged,2026-07-16T05:50:57Z,https://github.com/open-telemetry/opentelemetry.io/pull/10854
10871,Auto-update registry versions (f41e36e1c8e1c61c8bf8a8584700ed17bd633145),otelbot[bot],merged,2026-07-17T10:04:00Z,https://github.com/open-telemetry/opentelemetry.io/pull/10871
10873,Refresh refcache,otelbot-docs[bot],merged,2026-07-17T10:30:26Z,https://github.com/open-telemetry/opentelemetry.io/pull/10873
10880,Auto-update registry versions (a0032f90ce685167e0d0bb296eb54871f114e696),otelbot[bot],merged,2026-07-18T11:14:55Z,https://github.com/open-telemetry/opentelemetry.io/pull/10880
10909,Add Go compile-time Anthropic instrumentation to registry,pradhyum6144,merged,2026-07-21T05:06:20Z,https://github.com/open-telemetry/opentelemetry.io/pull/10909
10916,Auto-update registry versions (fe7641253d316193a99ba8f41bfc8036af8c7c6f),otelbot[bot],merged,2026-07-21T06:05:28Z,https://github.com/open-telemetry/opentelemetry.io/pull/10916
10918,"chore: revert #10235, dash0 operator is not an integration",svrnm,merged,2026-07-21T06:16:41Z,https://github.com/open-telemetry/opentelemetry.io/pull/10918
10942,Auto-update registry versions (75b550cfa44c3540bbe408c96a5c5cfdd125e544),otelbot[bot],merged,2026-07-22T09:24:48Z,https://github.com/open-telemetry/opentelemetry.io/pull/10942
10983,Auto-update registry versions (6578275850dc06c1a65cacdd347155c2d3eb6be9),otelbot[bot],merged,2026-07-23T07:30:38Z,https://github.com/open-telemetry/opentelemetry.io/pull/10983
10985,Refresh refcache,otelbot-docs[bot],merged,2026-07-24T15:16:32Z,https://github.com/open-telemetry/opentelemetry.io/pull/10985
11002,Auto-update registry versions (0db2966a263f5463fa13f1a86c4a39d4d767dcf7),otelbot[bot],merged,2026-07-24T10:36:21Z,https://github.com/open-telemetry/opentelemetry.io/pull/11002
11021,Auto-update registry versions (1c891cb68f7fbdda0bab5c2957de49bf0611c33d),otelbot[bot],merged,2026-07-26T08:34:56Z,https://github.com/open-telemetry/opentelemetry.io/pull/11021
